,timestep_time,vehicle_id
711,48,59
822,52,691
851,53,691
1826,80,710
1870,81,710
1914,82,710
1958,83,710
2001,84,710
2044,85,710
2343,92,1739
2345,92,1767
2392,93,1739
2394,93,1767
2444,94,1766
2495,95,1766
3209,107,808
3272,108,808
4537,129,1089
4601,130,1089
5296,141,55
7506,182,1698
7511,182,1805
7567,183,1805
7618,184,1757
8415,197,209
8478,198,209
8982,206,1804
10273,228,17
10401,230,43
10452,231,43
10510,232,58
13846,289,1091
13916,290,1091
14531,298,379
14704,301,1425
14773,302,1425
15218,308,630
19233,376,700
19261,377,1599
19297,377,700
19325,378,1599
19361,378,700
19426,379,700
19491,380,700
19556,381,700
19623,382,700
20329,393,916
20388,394,916
20628,399,1593
21162,408,46
21331,411,47
21952,422,57
22072,424,7
22805,436,69
23762,451,1780
23830,452,1780
23899,453,1780
23967,454,1754
24038,455,1754
24041,455,1789
24108,456,1741
24181,457,1762
24982,468,1798
25236,471,546
25311,472,546
25706,478,1256
25780,479,1256
25931,481,1257
26007,482,1257
27271,498,24
27432,500,44
27506,501,44
30390,541,680
30425,542,1728
30464,542,680
30499,543,1728
30507,543,1791
30538,543,680
30579,544,1781
30612,544,680
30648,545,1732
30653,545,1781
30686,545,680
30723,546,1732
30762,546,680
30838,547,680
30870,548,1596
30915,548,680
30948,549,1596
30992,549,680
31069,550,680
31071,550,696
31146,551,680
31148,551,696
31223,552,680
31225,552,696
31300,553,680
31302,553,696
31377,554,680
31379,554,696
31455,555,680
31457,555,696
31531,556,680
31533,556,696
31608,557,680
31610,557,696
31687,558,680
31689,558,696
31767,559,680
31846,560,680
31927,561,680
32008,562,680
32089,563,680
32171,564,680
32252,565,680
32332,566,680
32411,567,680
32489,568,680
32564,569,680
32638,570,680
32644,570,915
32710,571,680
32783,572,680
32854,573,680
32924,574,680
32995,575,680
33065,576,680
33134,577,680
33202,578,680
33268,579,680
33333,580,680
33397,581,680
33461,582,680
33525,583,680
33589,584,680
33653,585,680
33717,586,680
33780,587,680
33832,588,37
35619,616,21
36727,632,1689
36728,632,1718
36801,633,1689
36802,633,1718
37862,646,687
37943,647,687
38025,648,687
38089,649,206
38107,649,687
38171,650,206
38189,650,687
38271,651,687
38353,652,687
38687,656,712
38768,657,712
38847,658,712
38926,659,712
39007,660,712
39087,661,712
39168,662,712
39320,664,547
39399,665,547
39671,669,1430
40404,678,71
40605,681,20
40940,686,13
42401,705,681
42479,706,681
42559,707,681
42639,708,681
42720,709,681
42727,709,84
42801,710,681
42882,711,681
42964,712,681
43045,713,681
43127,714,681
43209,715,681
43291,716,681
43374,717,681
43460,718,681
43546,719,681
43634,720,681
43722,721,681
43772,722,1714
43810,722,681
43860,723,1714
43898,723,681
43950,724,1714
43988,724,681
44077,725,681
44168,726,681
44259,727,681
44350,728,681
44442,729,681
44534,730,681
44626,731,681
44719,732,681
44812,733,681
44905,734,681
44999,735,681
45093,736,681
45189,737,681
45286,738,681
45383,739,681
45467,740,376
45482,740,681
45566,741,376
45581,741,681
45680,742,681
45707,743,1092
45779,743,681
45806,744,1092
45878,744,681
45977,745,681
46075,746,681
46173,747,681
46269,748,681
46364,749,681
46455,750,681
46545,751,681
46635,752,681
46725,753,681
46813,754,681
46900,755,681
46984,756,681
47067,757,681
47150,758,681
47230,759,681
47309,760,681
47388,761,681
47466,762,681
47541,763,681
47613,764,681
47687,765,681
47760,766,681
47837,767,725
47911,768,725
47984,769,725
48012,770,15
48336,774,715
48403,775,715
48517,777,3
48582,778,3
50490,804,25
51117,812,1790
51199,813,1790
54433,849,1424
55262,858,51
55675,863,38
55748,864,22
58748,902,1731
58750,902,1786
58836,903,1786
58923,904,1786
59522,911,124
59613,912,124
60084,917,1595
60174,918,1595
60727,924,1721
60915,926,1803
61098,928,1854
61188,929,1854
61334,931,1259
61423,932,1259
61732,935,293
61817,936,293
63152,954,706
63217,955,706
65445,988,727
65513,989,727
65582,990,727
65651,991,727
65686,992,1719
65688,992,1756
65719,992,727
65754,993,1719
65786,993,727
65821,994,1719
65853,994,727
65920,995,727
65987,996,727
66055,997,727
66123,998,727
66192,999,727
66262,1000,727
66332,1001,727
66403,1002,727
66474,1003,727
66545,1004,727
66615,1005,727
66684,1006,727
66753,1007,727
66823,1008,727
66893,1009,727
66965,1010,727
67038,1011,727
67111,1012,727
67185,1013,727
67259,1014,727
67332,1015,727
67402,1016,727
67468,1017,717
67469,1017,727
67536,1018,717
67537,1018,727
67605,1019,717
67606,1019,727
67673,1020,717
67674,1020,727
67742,1021,717
67743,1021,727
67810,1022,717
67811,1022,727
67877,1023,717
67878,1023,727
67886,1023,922
67943,1024,717
67944,1024,727
67952,1024,922
68010,1025,727
68017,1025,914
68072,1026,727
68078,1026,914
68133,1027,727
68192,1028,727
68247,1029,727
68301,1030,727
68354,1031,727
68408,1032,727
68462,1033,727
68516,1034,727
68568,1035,727
68620,1036,727
70157,1070,66
70717,1082,1692
70723,1082,1763
70769,1083,1692
70775,1083,1763
71902,1102,1720
72293,1108,1787
73515,1127,721
73575,1128,721
76563,1171,1693
76647,1172,1695
76732,1173,1695
77726,1184,718
77811,1185,718
77896,1186,718
77943,1187,1747
77979,1187,694
77981,1187,718
78065,1188,694
78067,1188,718
78153,1189,694
78155,1189,718
78240,1190,694
78242,1190,718
78327,1191,694
78329,1191,718
78416,1192,694
78505,1193,694
78594,1194,694
78685,1195,694
78777,1196,694
79360,1203,1423
79451,1204,1423
79960,1210,1088
83947,1261,1793
84031,1262,1777
84118,1263,1777
84203,1264,1748
86056,1284,1794
86468,1288,461
86566,1289,461
87567,1299,548
87665,1300,548
88348,1307,61
88720,1311,64
88894,1313,52
89070,1315,5
89160,1316,5
89673,1322,33
92298,1352,1701
92391,1353,1701
93728,1367,1087
93830,1368,1087
93964,1369,1597
94066,1370,1597
95912,1389,549
96611,1398,72
96778,1401,12
99373,1437,726
99446,1438,726
99520,1439,726
99594,1440,726
99669,1441,726
99711,1442,1755
99745,1442,726
99787,1443,1755
99789,1443,1783
99821,1443,726
99898,1444,726
99918,1445,121
99974,1445,726
99994,1446,121
100051,1446,726
100128,1447,726
100207,1448,726
100208,1448,756
100287,1449,726
100288,1449,756
100367,1450,726
100369,1450,757
100447,1451,726
100449,1451,757
100528,1452,726
100611,1453,726
100695,1454,726
100779,1455,726
100864,1456,726
100892,1457,1431
100949,1457,726
100977,1458,1431
101034,1458,726
101119,1459,726
101146,1460,1429
101204,1460,726
101232,1461,1429
101290,1461,726
101376,1462,726
101461,1463,726
101547,1464,726
101632,1465,726
101716,1466,726
101799,1467,726
101881,1468,726
101964,1469,726
102046,1470,726
102128,1471,726
102211,1472,726
102294,1473,726
102379,1474,726
102400,1475,1253
102464,1475,726
102546,1476,726
102627,1477,726
102705,1478,726
102771,1479,464
102784,1479,726
102862,1480,726
102932,1481,632
102939,1481,726
103013,1482,726
103084,1483,726
103154,1484,726
103224,1485,726
103293,1486,726
103362,1487,726
103420,1488,40
103623,1491,683
103685,1492,683
106375,1532,1765
106379,1532,1806
106449,1533,1765
106453,1533,1806
106528,1534,1810
106603,1535,1810
107021,1540,705
107100,1541,705
107179,1542,705
107259,1543,705
107310,1544,1797
107339,1544,705
107418,1545,705
107496,1546,705
107573,1547,705
108429,1558,1853
108508,1559,1853
109381,1570,290
109453,1571,290
112607,1622,1752
112611,1622,1792
112671,1623,1752
112675,1623,1792
112736,1624,1761
